web-scraper-order,ImageFilename,Image_DownloadURL,ProjectTitle,ProjectAuthors,PublicationDate
1605905076-4987,000_1982.09_PerformanceAtoZ_A.jpg,https://archive.org/download/198209PerformanceAtoZA/000_1982.09_PerformanceAtoZ_A.jpg,1982.09_Performance A to Z - A: Arlene Schloss,Arlene Schloss,9/18/1982
1605905076-4989,001_1982.09_PerformanceAtoZ_A.jpg,https://archive.org/download/198209PerformanceAtoZA/001_1982.09_PerformanceAtoZ_A.jpg,1982.09_Performance A to Z - A: Arlene Schloss,Arlene Schloss,9/18/1982
1605905076-4991,002_1982.09_PerformanceAtoZ_A.jpg,https://archive.org/download/198209PerformanceAtoZA/002_1982.09_PerformanceAtoZ_A.jpg,1982.09_Performance A to Z - A: Arlene Schloss,Arlene Schloss,9/18/1982
1605905076-4993,003_1982.09_PerformanceAtoZ_A.jpg,https://archive.org/download/198209PerformanceAtoZA/003_1982.09_PerformanceAtoZ_A.jpg,1982.09_Performance A to Z - A: Arlene Schloss,Arlene Schloss,9/18/1982
1605905076-4995,004_1982.09_PerformanceAtoZ_A (1).jpg,https://archive.org/download/198209PerformanceAtoZA/004_1982.09_PerformanceAtoZ_A.jpg,1982.09_Performance A to Z - A: Arlene Schloss,Arlene Schloss,9/18/1982
1605905076-4997,005_1982.09_PerformanceAtoZ_A.jpg,https://archive.org/download/198209PerformanceAtoZA/005_1982.09_PerformanceAtoZ_A.jpg,1982.09_Performance A to Z - A: Arlene Schloss,Arlene Schloss,9/18/1982
1605904660-3907,B01_1982_PerformanceAtoZ.jpg,https://archive.org/download/198209PerformanceAtoZB/B01_1982_PerformanceAtoZ.jpg,1982.09 Performance A to Z - B: Billy Bell,Billy Bell,9/19/1982
1605904965-4692,C01_1982_PerformanceAtoZ_C.jpg,https://archive.org/download/198209PerformanceAtoZC/C01_1982_PerformanceAtoZ_C.jpg,1982.09_Performance A to Z - C: Kwok Mang Ho,Kwok Mang Ho,9/20/1982
1605904965-4694,C02_1982_PerformanceAtoZ_C.jpg,https://archive.org/download/198209PerformanceAtoZC/C02_1982_PerformanceAtoZ_C.jpg,1982.09_Performance A to Z - C: Kwok Mang Ho,Kwok Mang Ho,9/20/1982
1605904965-4696,C03_1982_PerformanceAtoZ_C.jpg,https://archive.org/download/198209PerformanceAtoZC/C03_1982_PerformanceAtoZ_C.jpg,1982.09_Performance A to Z - C: Kwok Mang Ho,Kwok Mang Ho,9/20/1982
1605904651-3893,D01_1982_PerformanceAtoZ_D.jpg,https://archive.org/download/198209PerformanceAtoZD/D01_1982_PerformanceAtoZ_D.jpg,1982.09 Performance A to Z - D: Ilona Granet,Ilona Granet,9/21/1982
1605904810-4265,E01_1982_PerformanceAtoZ_E.jpg,https://archive.org/download/198209PerformanceAtoZE/E01_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904810-4267,E02_1982_PerformanceAtoZ_E.jpg,https://archive.org/download/198209PerformanceAtoZE/E02_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904810-4269,E03_1982_PerformanceAtoZ_E.jpg,https://archive.org/download/198209PerformanceAtoZE/E03_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904810-4271,E04_1982_PerformanceAtoZ_E (1).jpg,https://archive.org/download/198209PerformanceAtoZE/E04_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904810-4273,E05_1982_PerformanceAtoZ_E.jpg,https://archive.org/download/198209PerformanceAtoZE/E05_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904810-4275,E06_1982_PerformanceAtoZ_E (1).jpg,https://archive.org/download/198209PerformanceAtoZE/E06_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904810-4277,E07_1982_PerformanceAtoZ_E.jpg,https://archive.org/download/198209PerformanceAtoZE/E07_1982_PerformanceAtoZ_E.jpg,1982.09 Performance A to Z - E: Tzvia Stein,Tzvia Stein,9/22/1982
1605904567-3735,F01_1982_PerformanceAtoZ_F (1).jpg,https://archive.org/download/198209PerformanceAtoZF/F01_1982_PerformanceAtoZ_F.jpg,1982.09 Performance A to Z - F: Angela Hans,Angela Hans,9/23/1982
1605904577-3755,G01_1982_PerformanceAtoZ_G (1).jpg,https://archive.org/download/198209PerformanceAtoZG/G01_1982_PerformanceAtoZ_G.jpg,1982.09 Performance A to Z - G: Barbara Held,Barbara Held,9/24/1982
1605904577-3757,G02_1982_PerformanceAtoZ_G.jpg,https://archive.org/download/198209PerformanceAtoZG/G02_1982_PerformanceAtoZ_G.jpg,1982.09 Performance A to Z - G: Barbara Held,Barbara Held,9/24/1982
1605904827-4320,H01_1982_PerformanceAtoZ_H (1).jpg,https://archive.org/download/198209PerformanceAtoZH/H01_1982_PerformanceAtoZ_H.jpg,1982.09 Performance A to Z - H: Des Refuses,Des Refuses,9/25/1982
1605904827-4322,H02_1982_PerformanceAtoZ_H.jpg,https://archive.org/download/198209PerformanceAtoZH/H02_1982_PerformanceAtoZ_H.jpg,1982.09 Performance A to Z - H: Des Refuses,Des Refuses,9/25/1982
1605904697-3991,I01_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I01_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-3993,I02_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I02_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-3995,I03_1982_PerformanceAtoZ_I (1).jpg,https://archive.org/download/198209PerformanceAtoZI/I03_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-3997,I04_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I04_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-3999,I05_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I05_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-4001,I06_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I06_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-4003,I07_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I07_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904697-4005,I08_1982_PerformanceAtoZ_I.jpg,https://archive.org/download/198209PerformanceAtoZI/I08_1982_PerformanceAtoZ_I.jpg,1982.09 Performance A to Z - I: Teching Hsieh,Teching Hsieh,9/26/1982
1605904445-3449,J01_1982_PerformanceAtoZ_J.jpg,https://archive.org/download/198209PerformanceAtoZJ/J01_1982_PerformanceAtoZ_J.jpg,1982.09 Performance A to Z - J: Phoebe Legere,Phoebe Legere,9/27/1982
1605904505-3605,K01_1982_PerformanceAtoZ_K.jpg,https://archive.org/download/198209PerformanceAtoZK/K01_1982_PerformanceAtoZ_K.jpg,1982.09 Performance A to Z - K: R & V Gerlovin,R & V Gerlovin,9/28/1982
1605904505-3607,K02_1982_PerformanceAtoZ_K.jpg,https://archive.org/download/198209PerformanceAtoZK/K02_1982_PerformanceAtoZ_K.jpg,1982.09 Performance A to Z - K: R & V Gerlovin,R & V Gerlovin,9/28/1982
1605904505-3609,K03_1982_PerformanceAtoZ_K.jpg,https://archive.org/download/198209PerformanceAtoZK/K03_1982_PerformanceAtoZ_K.jpg,1982.09 Performance A to Z - K: R & V Gerlovin,R & V Gerlovin,9/28/1982
